Threshold,True_Negatives,False_Positives,False_Negatives,True_Positives,Accuracy,Recall
0.0,0,155,0,389,0.7150735294117647,1.0
0.01,105,50,0,389,0.9080882352941176,1.0
0.02,113,42,1,388,0.9209558823529411,0.9974293059125964
0.03,123,32,1,388,0.9393382352941176,0.9974293059125964
0.04,129,26,1,388,0.9503676470588235,0.9974293059125964
0.05,130,25,1,388,0.9522058823529411,0.9974293059125964
0.06,132,23,1,388,0.9558823529411765,0.9974293059125964
0.07,135,20,1,388,0.9613970588235294,0.9974293059125964
0.08,137,18,1,388,0.9650735294117647,0.9974293059125964
0.09,139,16,1,388,0.96875,0.9974293059125964
0.1,139,16,2,387,0.9669117647058824,0.9948586118251928
0.11,141,14,2,387,0.9705882352941176,0.9948586118251928
0.12,144,11,2,387,0.9761029411764706,0.9948586118251928
0.13,144,11,2,387,0.9761029411764706,0.9948586118251928
0.14,146,9,2,387,0.9797794117647058,0.9948586118251928
0.15,146,9,2,387,0.9797794117647058,0.9948586118251928
0.16,146,9,2,387,0.9797794117647058,0.9948586118251928
0.17,146,9,3,386,0.9779411764705882,0.9922879177377892
0.18,148,7,3,386,0.9816176470588235,0.9922879177377892
0.19,149,6,4,385,0.9816176470588235,0.9897172236503856
0.2,150,5,4,385,0.9834558823529411,0.9897172236503856
0.21,151,4,5,384,0.9834558823529411,0.987146529562982
0.22,152,3,5,384,0.9852941176470589,0.987146529562982
0.23,152,3,5,384,0.9852941176470589,0.987146529562982
0.24,153,2,5,384,0.9871323529411765,0.987146529562982
0.25,153,2,5,384,0.9871323529411765,0.987146529562982
0.26,154,1,5,384,0.9889705882352942,0.987146529562982
0.27,154,1,5,384,0.9889705882352942,0.987146529562982
0.28,154,1,5,384,0.9889705882352942,0.987146529562982
0.29,154,1,5,384,0.9889705882352942,0.987146529562982
0.3,154,1,5,384,0.9889705882352942,0.987146529562982
0.31,154,1,5,384,0.9889705882352942,0.987146529562982
0.32,154,1,5,384,0.9889705882352942,0.987146529562982
0.33,155,0,5,384,0.9908088235294118,0.987146529562982
0.34,155,0,5,384,0.9908088235294118,0.987146529562982
0.35,155,0,5,384,0.9908088235294118,0.987146529562982
0.36,155,0,5,384,0.9908088235294118,0.987146529562982
0.37,155,0,5,384,0.9908088235294118,0.987146529562982
0.38,155,0,5,384,0.9908088235294118,0.987146529562982
0.39,155,0,5,384,0.9908088235294118,0.987146529562982
0.4,155,0,5,384,0.9908088235294118,0.987146529562982
0.41,155,0,5,384,0.9908088235294118,0.987146529562982
0.42,155,0,5,384,0.9908088235294118,0.987146529562982
0.43,155,0,5,384,0.9908088235294118,0.987146529562982
0.44,155,0,5,384,0.9908088235294118,0.987146529562982
0.45,155,0,5,384,0.9908088235294118,0.987146529562982
0.46,155,0,5,384,0.9908088235294118,0.987146529562982
0.47,155,0,5,384,0.9908088235294118,0.987146529562982
0.48,155,0,5,384,0.9908088235294118,0.987146529562982
0.49,155,0,5,384,0.9908088235294118,0.987146529562982
0.5,155,0,6,383,0.9889705882352942,0.9845758354755784
0.51,155,0,8,381,0.9852941176470589,0.9794344473007712
0.52,155,0,8,381,0.9852941176470589,0.9794344473007712
0.53,155,0,8,381,0.9852941176470589,0.9794344473007712
0.54,155,0,9,380,0.9834558823529411,0.9768637532133676
0.55,155,0,9,380,0.9834558823529411,0.9768637532133676
0.56,155,0,9,380,0.9834558823529411,0.9768637532133676
0.57,155,0,9,380,0.9834558823529411,0.9768637532133676
0.58,155,0,9,380,0.9834558823529411,0.9768637532133676
0.59,155,0,9,380,0.9834558823529411,0.9768637532133676
0.6,155,0,9,380,0.9834558823529411,0.9768637532133676
0.61,155,0,9,380,0.9834558823529411,0.9768637532133676
0.62,155,0,9,380,0.9834558823529411,0.9768637532133676
0.63,155,0,9,380,0.9834558823529411,0.9768637532133676
0.64,155,0,9,380,0.9834558823529411,0.9768637532133676
0.65,155,0,9,380,0.9834558823529411,0.9768637532133676
0.66,155,0,9,380,0.9834558823529411,0.9768637532133676
0.67,155,0,9,380,0.9834558823529411,0.9768637532133676
0.68,155,0,9,380,0.9834558823529411,0.9768637532133676
0.69,155,0,9,380,0.9834558823529411,0.9768637532133676
0.7,155,0,9,380,0.9834558823529411,0.9768637532133676
0.71,155,0,9,380,0.9834558823529411,0.9768637532133676
0.72,155,0,9,380,0.9834558823529411,0.9768637532133676
0.73,155,0,9,380,0.9834558823529411,0.9768637532133676
0.74,155,0,9,380,0.9834558823529411,0.9768637532133676
0.75,155,0,9,380,0.9834558823529411,0.9768637532133676
0.76,155,0,9,380,0.9834558823529411,0.9768637532133676
0.77,155,0,9,380,0.9834558823529411,0.9768637532133676
0.78,155,0,9,380,0.9834558823529411,0.9768637532133676
0.79,155,0,9,380,0.9834558823529411,0.9768637532133676
0.8,155,0,9,380,0.9834558823529411,0.9768637532133676
0.81,155,0,10,379,0.9816176470588235,0.974293059125964
0.82,155,0,10,379,0.9816176470588235,0.974293059125964
0.83,155,0,11,378,0.9797794117647058,0.9717223650385605
0.84,155,0,11,378,0.9797794117647058,0.9717223650385605
0.85,155,0,12,377,0.9779411764705882,0.9691516709511568
0.86,155,0,13,376,0.9761029411764706,0.9665809768637532
0.87,155,0,14,375,0.9742647058823529,0.9640102827763496
0.88,155,0,14,375,0.9742647058823529,0.9640102827763496
0.89,155,0,14,375,0.9742647058823529,0.9640102827763496
0.9,155,0,15,374,0.9724264705882353,0.961439588688946
0.91,155,0,16,373,0.9705882352941176,0.9588688946015425
0.92,155,0,17,372,0.96875,0.9562982005141388
0.93,155,0,17,372,0.96875,0.9562982005141388
0.94,155,0,17,372,0.96875,0.9562982005141388
0.95,155,0,17,372,0.96875,0.9562982005141388
0.96,155,0,17,372,0.96875,0.9562982005141388
0.97,155,0,17,372,0.96875,0.9562982005141388
0.98,155,0,18,371,0.9669117647058824,0.9537275064267352
0.99,155,0,21,368,0.9613970588235294,0.9460154241645244
1.0,155,0,34,355,0.9375,0.9125964010282777
