Orbit,First no panel,Last no panel,Last Frame,# No panel,% No panel,Glare,Glare Start 1,Glare End 1,Glare Start 2,Glare End 2,Notes,,,,,,Very Good,"MLSPB covers most sp, 0-15-frame difference"
12989,,,,,,1,0,4,,,,,,,,,,
12990,,,,,,1,0,5,1641,1650,,,,,,,,
12991,,,,,,1,0,3,,,,,,,,,,
12992,,,,,,1,0,2,,,,,,,,,,
12993,,,,,,1,0,8,,,,,,,,,,
12994,,,,,,1,0,3,,,,,,,,,,
12995,,,,,,1,0,5,,,,,,,,,,
12996,,,,,,1,0,5,,,,,,,,,,
12997,,,,,,1,0,5,,,,,,,,,,
12998,,,,,,1,0,4,,,,,,,,,,
12999,,,,,,0,,,,,,,,,,,,
13000,,,,,,1,0,7,,,,,,,,,,
13001,,,,,,1,0,8,,,,,,,,,,
13002,,,,,,0,,,,,,,,,,,,
13003,,,,,,0,,,,,,,,,,,,
13004,,,,,,1,0,3,1636,1643,,,,,,,,
13005,,,,,,1,1632,1644,,,,,,,,,,
13006,,,,,,0,,,,,,,,,,,,
13007,,,,,,1,1658,1664,,,,,,,,,,
13008,,,,,,1,0,2,,,,,,,,,,
13009,,,,,,1,0,6,1649,1658,,,,,,,,
13010,,,,,,1,1631,1647,,,,,,,,,,
13011,,,,,,1,0,3,,,,,,,,,,
13012,,,,,,0,,,,,,,,,,,,
13013,,,,,,1,0,5,,,,,,,,,,
13014,,,,,,0,,,,,,,,,,,,
13015,,,,,,0,,,,,,,,,,,,
13016,,,,,,0,,,,,,,,,,,,
13017,,,,,,0,,,,,,,,,,,,
13018,,,,,,1,1669,1676,,,,,,,,,,
13019,,,,,,0,,,,,,,,,,,,
13020,,,,,,0,,,,,,,,,,,,
13021,,,,,,1,1681,1695,,,,,,,,,,
13022,,,,,,1,1652,1667,,,,,,,,,,
13023,,,,,,0,,,,,Panels visible all orbit,,,,,,,
13024,,,,,,0,,,,,Panels visible all orbit,,,,,,,
13025,,,,,,1,1641,1656,,,Panels visible all orbit,,,,,,,
13026,,,,,,1,1653,1673,,,,,,,,,,
13027,,,,,,0,,,,,,,,,,,,
13028,,,,,,0,,,,,,,,,,,,
13029,,,,,,0,,,,,,,,,,,,
13030,,,,,,0,,,,,,,,,,,,
13031,,,,,,0,,,,,,,,,,,,
13032,,,,,,0,,,,,,,,,,,,
13033,,,,,,0,,,,,,,,,,,,
13034,,,,,,0,,,,,Panels visible all orbit,,,,,,,
13035,,,,,,0,,,,,Panels visible all orbit,,,,,,,
13036,,,,,,1,1689,1708,,,Panels and capsule visible all orbit,,,,,,,
13037,,,,,,0,,,,,Panels visible all orbit,,,,,,,
13038,,,,,,0,,,,,,,,,,,,
13039,,,,,,0,,,,,,,,,,,,
13040,,,,,,0,,,,,,,,,,,,
13041,,,,,,0,,,,,,,,,,,,
13042,,,,,,0,,,,,,,,,,,,
13043,,,,,,0,,,,,,,,,,,,
13044,,,,,,0,,,,,,,,,,,,
13045,,,,,,0,,,,,,,,,,,,
13046,,,,,,0,,,,,,,,,,,,
13047,,,,,,0,,,,,,,,,,,,
13048,,,,,,0,,,,,,,,,,,,
13049,,,,,,1,10,11,,,,,,,,,,
13050,,,,,,0,,,,,,,,,,,,
13051,,,,,,0,,,,,,,,,,,,
13052,,,,,,0,,,,,,,,,,,,
13053,,,,,,0,,,,,,,,,,,,
13054,,,,,,0,,,,,,,,,,,,
13055,,,,,,0,,,,,Panels visible all orbit,,,,,,,
13056,,,,,,0,,,,,Panels visible all orbit,,,,,,,
13057,,,,,,0,,,,,,,,,,,,
13058,,,,,,0,,,,,,,,,,,,
13059,,,,,,0,,,,,,,,,,,,
13060,,,,,,0,,,,,,,,,,,,
13061,,,,,,0,,,,,,,,,,,,
13062,,,,,,0,,,,,,,,,,,,
13063,,,,,,0,,,,,,,,,,,,
13064,,,,,,0,,,,,,,,,,,,
13065,,,,,,0,,,,,,,,,,,,
13066,,,,,,0,,,,,,,,,,,,
13067,,,,,,1,1764,1778,,,,,,,,,,
13068,,,,,,0,,,,,,,,,,,,
13069,,,,,,0,,,,,,,,,,,,
13070,,,,,,1,1769,1781,,,,,,,,,,
13071,,,,,,1,1771,1778,,,,,,,,,,
13072,,,,,,0,,,,,,,,,,,,
13073,,,,,,0,,,,,,,,,,,,
13074,,,,,,0,,,,,,,,,,,,
13075,,,,,,0,,,,,,,,,,,,
13076,,,,,,0,,,,,,,,,,,,
13077,,,,,,0,,,,,,,,,,,,
13078,,,,,,0,,,,,,,,,,,,
13079,,,,,,0,,,,,,,,,,,,
13080,,,,,,1,1767,1781,,,,,,,,,,
