Orbit #,glare_initial,glare_final
12543.0,1161.0,1286.0
12544.0,0.0,77.0
12544.0,1175.0,1288.0
12545.0,0.0,82.0
12545.0,1185.0,1291.0
12546.0,0.0,67.0
12546.0,1198.0,1294.0
12547.0,0.0,76.0
12547.0,1208.0,1297.0
12548.0,0.0,40.0
12548.0,1215.0,1300.0
12549.0,0.0,40.0
12549.0,1214.0,1303.0
12550.0,0.0,63.0
12550.0,1234.0,1306.0
12551.0,0.0,57.0
12551.0,1232.0,1310.0
12552.0,0.0,58.0
12552.0,1245.0,1313.0
12553.0,0.0,27.0
12553.0,1240.0,1316.0
12554.0,0.0,34.0
12554.0,1238.0,1318.0
12555.0,0.0,47.0
12555.0,1257.0,1322.0
12556.0,0.0,37.0
12556.0,1283.0,1324.0
12557.0,0.0,35.0
12557.0,1280.0,1328.0
12558.0,0.0,28.0
12558.0,1267.0,1329.0
12559.0,0.0,29.0
12559.0,1272.0,1334.0
12560.0,0.0,6.0
12560.0,1284.0,1342.0
12561.0,0.0,4.0
12561.0,1290.0,1347.0
12562.0,0.0,23.0
12562.0,1301.0,1345.0
12563.0,0.0,29.0
12563.0,1338.0,1360.0
12564.0,0.0,4.0
12564.0,1341.0,1363.0
12565.0,0.0,4.0
12565.0,1355.0,1370.0
12566.0,0.0,8.0
12566.0,1321.0,1365.0
12567.0,0.0,8.0
12567.0,1340.0,1377.0
12568.0,1350.0,1388.0
12569.0,1391.0,1406.0
12570.0,1376.0,1386.0
12571.0,1356.0,1396.0
12572.0,1400.0,1404.0
12573.0,1376.0,1411.0
12574.0,1384.0,1403.0
12575.0,1422.0,1435.0
12577.0,1412.0,1433.0
12579.0,1444.0,1454.0
12580.0,1441.0,1459.0
12583.0,1482.0,1488.0
12590.0,1529.0,1535.0
12638.0,0.0,7.0
12704.0,0.0,5.0
12706.0,0.0,33.0
12791.0,0.0,3.0
12791.0,1923.0,2122.0
12792.0,0.0,184.0
12792.0,2124.0,2321.0
12793.0,0.0,191.0
12793.0,2122.0,2318.0
12794.0,0.0,189.0
12804.0,1917.0,2114.0
12805.0,0.0,183.0
12805.0,2102.0,2302.0
12806.0,0.0,194.0
12806.0,2114.0,2314.0
12807.0,0.0,181.0
12807.0,2109.0,2304.0
12808.0,0.0,191.0
12808.0,2069.0,2107.0
12825.0,0.0,19.0
12841.0,0.0,13.0
12845.0,0.0,10.0
