Orbit #,glare_initial,glare_final,,,,,
,,,25-Mar,,,,
7209,0,2,,,,,
7234,0,7,,,,,
7283,1,7,,,,,
7299,1,5,,,,,
7313,0,3,,,,,
7319,0,3,,,,,
7324,0,3,,,,,
7326,0,6,,,,,
7327,0,7,,,,,
7328,0,6,,,,,
7329,0,7,,,,,
7330,0,6,,,,,
7331,0,8,,,,,
7332,0,6,,,,,
7333,0,6,,,,,
7334,0,4,,,,,
7335,0,7,,,,,
7336,0,5,,,,,
7337,0,7,,,,,
7338,0,5,,,,,
7339,0,7,,,,,
7340,0,13,,,,,
7341,0,10,,,,,
7342,0,11,,,,,
7343,0,5,,,,,
7344,0,7,,,,,
7345,0,9,,,,,
7346,0,9,,,,,
7347,0,9,,,,,
7348,0,7,,,,,
7350,0,11,,,,,
7351,0,2,,,,,
7354,0,3,,,,,
7358,0,2,,,,,
7360,0,10,,,,,
7361,0,6,,,,,
7362,0,6,,,,,
7363,0,5,,,,,
7365,0,3,,,,,
7366,0,3,,,,,
7367,0,3,,,,,
7370,0,4,,,,,
7375,0,4,,,,,
7380,0,2,,,,,
7382,0,2,,,,,
7385,0,2,,,,,
7438,0,123,,,,,
7441,0,49,,,,,
7541,0,3,,,,,
7542,0,3,,,,,
7543,0,3,,,,,
7555,0,6,,,,,
,,,25-Apr,,,,
7801,1678,1686,,,,,
7802,1683,1685,,,,,
,,,25-May,,,,
8168,0,2,,,,,
8169,0,6,,,,,
8170,0,2,,,,,
8171,0,8,,,,,
8173,0,12,,,,,
8174,0,3,,,,,
8175,0,10,,,,,
8176,0,16,,,,,
8177,0,13,,,,,
8178,0,3,,,,,
8179,0,19,,,,,
8180,0,17,,,,,
8181,0,25,,,,,
8182,0,27,,,,,
8183,0,12,,,,,
8184,0,30,,,,,
8185,0,32,,,,,
8186,0,26,,,,,
8187,0,39,,,,,
8188,0,41,,,,,
8189,0,19,,,,,
8190,0,38,,,,,
8191,0,29,,,,,
8192,0,42,,,,,
8193,0,45,,,,,
8194,0,47,,,,,
8195,0,30,,,,,
8196,0,49,,,,,
8197,0,57,,,,,
8198,0,53,,,,,
8199,0,58,,,,,
8200,0,57,,,,,
8201,0,24,,,,,
8202,0,28,,,,,
8203,0,31,,,,,
8204,0,22,,,,,
8205,0,17,,,,,
8206,0,22,,,,,
8207,0,11,,,,,
8208,0,30,,,,,
8209,0,15,,,,,
8210,0,15,,,,,
8211,0,8,,,,,
8212,0,13,,,,,
8213,0,8,,,,,
8214,0,5,,,,,
8215,0,8,,,,,
8216,0,7,,,,,
8217,0,8,,,,,
8218,0,5,,,,,
8219,0,5,,,,,
8220,0,8,,,,,
8221,0,5,,,,,
8222,0,7,,,,,
